condition_id,question,end_date_iso
0x60d7b4c560fc40b439ed40bf9fcb1f3d6ca4afe7b9b6dbe078712fc6d6ec3fdf,Will global temperature increase by between 1.37-1.41ºC in April 2025?,2025-04-30T00:00:00Z
0x6504cb61869aacb7077f32f604ac3439f25eaabc8b469fa2df692066b65ffafb,Will global temperature increase by between 1.27-1.31ºC in April 2025?,2025-04-30T00:00:00Z
0x432e999b294ef21face82e32d86fd30c1d75b3a5050c5c5f55007a7c70aeb4e4,Will global temperature increase by between 1.13-1.17ºC in April 2025?,2025-04-30T00:00:00Z
0x11d48a90df559cda06d98c78d55ba3f9faaa71c7db8d630ffb7dacaef786cb02,Will the highest temperature in NYC be be tween 70-71°F on May 4?,2025-05-04T00:00:00Z
0xb4179cf9c6033e37ff1ac949509ecb8f6f0bb2311ef0867058e9d9b2b578b188,archWill the highest temperature in New York City be 49°F or below on May 22?,2025-05-22T00:00:00Z
0x838b0000b4e070ebf2a968e9c62f65ffb255266260ae1a899c9747f4dcf9e679,archWill the highest temperature in New York City be between 52–53°F on May 22?,2025-05-22T00:00:00Z
0x44a871e071f69fd678a140ce380c89f1494adc44a76370c2a4e22ca336a2a87d,archWill the highest temperature in New York City be between 50–51°F on May 22?,2025-05-22T00:00:00Z
0xaf2c2d77aee2a6adcb972d67669211d02b424f8ea8af634a74cb04e913a5285f,Will global temperature increase by more than 1.24ºC in May 2025?,2025-05-31T00:00:00Z
0xf72b6271669ca741d6b421ab4993a62037553883cc5c3bbb0d25b1c85b3a08fb,2025 May hottest on record?,2025-05-31T00:00:00Z
0xda5c919b74e2c6f5629ff47738bc4bc1ae45096719faafb5b2720ba293df00d7,Will global temperature increase by between 1.05-1.09ºC in May 2025?,2025-05-31T00:00:00Z
0x9862c739820dd7705d6dd9779c0d9447112a1ca0c2678fa11fe819e7c05d9dc6,Earthquake 7.0 or above in May?,2025-05-31T00:00:00Z
0x05ed3eb3558c3c565218ab47c374a0a8d8e37e42398d6077aa6fe17b9cc3bbb4,Will global temperature increase by between 1.15-1.19ºC in May 2025?,2025-05-31T00:00:00Z
0x69722a3bd3cb974ff0a824c5db3a6e56131958ddda0e2241a17598766299eaa2,Will global temperature increase by between 1.20-1.24ºC in May 2025?,2025-05-31T00:00:00Z
0x686fb9aba46c4d33c53ad7c951a32b8b655c3be13a7da5ffa2abc2e433024cdd,Will global temperature increase by less than 1.05ºC in May 2025?,2025-05-31T00:00:00Z
0x60338412e8b1477bcbddf19bdd0bd8a274a2b1096c9b4e24fbf82509ea2f8df4,Will global temperature increase by between 1.10-1.14ºC in May 2025?,2025-05-31T00:00:00Z
0xc611795622cf81d4230b2682e97950480a296ac12a5ba49b263d0f76a28875e5,archWill the highest temperature in London be between 87-88°F on June 21?,2025-06-21T00:00:00Z
0xc90d08732e03e4b0d39f4490af8ab2af2128db52ef5adb9bc45839697915884f,archWill the highest temperature in London be between 89-90°F on June 21?,2025-06-21T00:00:00Z
0x058b5d77a7c605ad9b7fe0f2085f13d9b83f04900fe0a3e7f1ba189dd6f14319,archWill the highest temperature in London be 86°F or below on June 21?,2025-06-21T00:00:00Z
0x9e998b6cf62315fe13fd80e8a57c3b1bb9c7affcdada886b44efdcfd28c4e4b0,2025 June hottest on record?,2025-06-30T00:00:00Z
0x2089d089722253ed11c7314cc94325b12c7198cbec542e3e88daf088ce9425eb,Will a hurricane make landfall in the US in June?,2025-06-30T00:00:00Z
0xefae99718c85b79809ba87c02d60ebd97fc6727f2f0f1d07350ee4739139ad4d,Megaquake in June?,2025-07-01T00:00:00Z
0x93317bbd26c133d3a28698c706fa051c8adcf5691b7179c861175a03a986b843,2025 July hottest on record?,2025-07-31T00:00:00Z
0xc63cfa15f9f29b13f31101f44973abc4276999abc6aa018a96cc0309f1cf47c9,Megaquake before August?,2025-07-31T00:00:00Z
0x2d1262c631910a24fb6bd0d561cf38688ef001c89c4b7aa374b9d5f1ff4a1367,Will a hurricane make landfall in the US before August?,2025-07-31T00:00:00Z
0x8bbf44a34427e7798345c80fd5d6569681874f94b41a8a15319b831b9cfb791d,archWill the highest temperature in London be between 80-81°F on August 13?,2025-08-13T00:00:00Z
0xf9d41fa09639ee77a4d2624dafeb08aa9156f6c83fcb70d9d374049ed0cf8d85,archWill the highest temperature in London be between 86-87°F on August 13?,2025-08-13T00:00:00Z
0x74a217276f80c8cce495c95524d6543c8297a1b42a4c72fccdca689ba736ef57,archWill the highest temperature in London be 77°F or below on August 13?,2025-08-13T00:00:00Z
0x19f591d6c562f730d72d926bfb2777a983595dc2a49b2b5d1390fd10628504c5,archWill the highest temperature in London be 88°F or higher on August 13?,2025-08-13T00:00:00Z
0x0f4ae3c6bf4ea81288af43c2d5b92173790f3556b940ad73848d7713f520bb21,archWill the highest temperature in London be between 84-85°F on August 13?,2025-08-13T00:00:00Z
0x11f48d56e3d45cc193d7361c712c89b664f6261c3e385eefa85e5d576c5556c6,archWill the highest temperature in London be between 82-83°F on August 13?,2025-08-13T00:00:00Z
0x48b9dee955a249cc024da2178596a41ca766495f7846da8467776fd37c769c15,archWill the highest temperature in London be between 78-79°F on August 13?,2025-08-13T00:00:00Z
0xa50b893b16556d0e79def2d1a500af6da9e8d22431f98c8c91e689ff4d9644fa,Megaquake by August 31?,2025-08-31T00:00:00Z
0xf50936eab945ef9e41c614333ef3842690d03e4e387e5288daf70f16605a9a78,2025 August second hottest on record?,2025-08-31T00:00:00Z
0xc4aaac83f8ba186bf464c350648ed8a3aba1bcfc0fedfa3158260a08ac8b1645,Will a hurricane make landfall in the US by August 31?,2025-08-31T00:00:00Z
0x6ce1ea150658f18f9abedea2d81ae98412ab9632166154608a1dedc5370ecb95,Will a hurricane form by August 31?,2025-08-31T00:00:00Z
0x7214ecfdc0d4e45a3b1e2903e19df196851867c0793f8b4b1f25f5f921679835,2025 August hottest on record?,2025-08-31T00:00:00Z
0x7601b8e8c597583fb42c42792ac23b3e4ca3acf5ecd85bfba87d7a3e276c9d94,Megaquake by August 31?,2025-08-31T00:00:00Z
0x504c233d17a7d1e1797354180db6c5692695c5d1e20f26108dd381eb15dab918,2025 August third hottest on record?,2025-08-31T00:00:00Z
0xcda723d8cbd9d75ec4e9e34fb33e7fbe4ec918c440016c5310bb075cef1802c9,Will a hurricane make landfall in the US by September 30?,2025-09-30T00:00:00Z
0x34fd49432062d39303523d21d5aec3137e31dea444621ef3184356dd01823569,Will a hurricane form by September 30?,2025-09-30T00:00:00Z
0x551e05a413e1580ed9e641f962f573daa738ae6f0629a10d7f04cb3ffe661b91,Megaquake by September 30?,2025-09-30T00:00:00Z
0xd7b3d8208fa984f488b6b47d2c9f2a2020ee1f5d4bf3542ca3f48d78c2a1e380,Megaquake by October 31?,2025-10-31T00:00:00Z
0x60660c1cf3125eb337f0587d5ceeb8e993f9edf4c4ea49f9316e650da7073120,Will a hurricane make landfall in the US by October 31?,2025-10-31T00:00:00Z
0xcdf6e3ddd5bec489352a083fb8b99c702ff3dc22f489e61bdd646b45af8ad4e7,Megaquake by November 30?,2025-11-30T00:00:00Z
0x24179919d36af05a5b7c4bd17057a59087dde6d332cbd5d268aa92e4369d08f5,Cat 3+ hurricane hits Miami in 2025?,2025-11-30T00:00:00Z
0x6e38b18f06fde61891aab9f49bceae7f8dca4057bb7786ce6881748e61e58e07,Will a cat 5 hurricane make US landfall during Hurricane Season 2025?,2025-11-30T00:00:00Z
0xa3f5ce12344c79c7bb3f01e7f026a8fe6d42d8891a2032cf3475467efd82d701,Will the highest temperature in Miami be 77–78°F on December 4?,2025-12-04T00:00:00Z
0xb6a26b37a027cf157c613c26a9f2803d344b380e03c63a083d05046a4c617739,Will the highest temperature in Denver be 38–39°F on December 4?,2025-12-04T00:00:00Z
0xb7b1169a5643cddd159ca92cb5eb0d4301b07e4705f72a3ff41020e3a2ab29c0,Will the highest temperature in Phoenix be 72–73°F on December 4?,2025-12-04T00:00:00Z
0xacf937c70551c40506dee6a9c3a5d29a205b1e8b5627e9d37c476db33966452e,Will the highest temperature in Dallas be 61–62°F on December 4?,2025-12-04T00:00:00Z
0xb1f67e5e9c6fa57f15d51a2b7ba07e710960f392eb4d5abe36196d2ed3b8d108,Will the highest temperature in Dallas be 57–58°F on December 4?,2025-12-04T00:00:00Z
0x8059ccd670ccde79323a5fbec13d92332afca405eb990b64c874ec56a3b65470,Will the highest temperature in Chicago be 33–34°F on December 4?,2025-12-04T00:00:00Z
0x95e4b9906fa6b9de2692f7dafe35e6d968bce25c1a5e02d09b8534db1d5a77a1,Will the highest temperature in Denver be 40–41°F on December 4?,2025-12-04T00:00:00Z
0x8c13b36262046e625969a2c849111cb951665583c2fdb1c8b9683984a926331f,Will the highest temperature in Los Angeles be 72–73°F on December 4?,2025-12-04T00:00:00Z
0xe10c6222f4f631bd7780e79e18ef1bb26d29844818eecde5da9b92732c091cb8,Will the highest temperature in Chicago be 25–26°F on December 4?,2025-12-04T00:00:00Z
0xee5f63533e7c7ccf912a0e058a6c30bbeaf1b3fe694f2cf6982d088583318663,Will the highest temperature in Dallas be 55–56°F on December 4?,2025-12-04T00:00:00Z
0xf2f9c9595eba37a7d09e96bec27d6cdb398ca7e391010e74a8804c0be5aa4b44,Will the highest temperature in Denver be 44–45°F on December 4?,2025-12-04T00:00:00Z
0xcab9e42f49e784574734629f517b056dbbf66d02affd2abf8c99d4d78f3484ad,Will the highest temperature in Phoenix be 74–75°F on December 4?,2025-12-04T00:00:00Z
0xbee71d05caa334b26c7053a214c74355fc6737f2afeb6797a190a60072b2a92e,Will the highest temperature in Dallas be 59–60°F on December 4?,2025-12-04T00:00:00Z
0xda899649fe9855d91e2a4e9382866aeeb6a6ff0bc53e49f621201e9a314b07af,Will the highest temperature in Chicago be 29–30°F on December 4?,2025-12-04T00:00:00Z
0x25c7195fc373db71c9699bddaa544d22081705bf8b80551954b4d5d70a87c83d,Will the highest temperature in Dallas be 63–64°F on December 4?,2025-12-04T00:00:00Z
0x2519d7dfe12bf30091183eb90df4d2194c5b218b95d47f6fcfee64eb00c7e865,Will the highest temperature in Los Angeles be 66–67°F on December 4?,2025-12-04T00:00:00Z
0x0e17ed1d0a5e1d9baa3c80f09ad16b39ea3d1a915decfaea028e982da6a5eae9,Will the highest temperature in Chicago be 31–32°F on December 4?,2025-12-04T00:00:00Z
0x06d4be60010081f75a24324a6afded2f2b809083030a95544810cd9ebde7586c,Will the highest temperature in Denver be 36–37°F on December 4?,2025-12-04T00:00:00Z
0x61e5aa5a24fa16f85b8100913757cd59005b65521725bb66c25a7e6c3e96ef08,Will the highest temperature in Miami be 79–80°F on December 4?,2025-12-04T00:00:00Z
0x6cd43e5339d6f82282a2756e886454ebdbf816608202f4af3205130e9a145c45,Will the highest temperature in Phoenix be 66–67°F on December 4?,2025-12-04T00:00:00Z
0x77f1aa3c0629a06954135570abfec08407c5a8e2f7618fb3ef7282ae6c0ff7a6,Will the highest temperature in Miami be 75–76°F on December 4?,2025-12-04T00:00:00Z
0x6fbf9be4f93dce1b7bd5bde0a1f3c5c4532c85c2a5996228d5f74fd72b9434d5,Will the highest temperature in Los Angeles be 70–71°F on December 4?,2025-12-04T00:00:00Z
0x400064fbf9653b0a3736f8b946a59d65660e3328807511e7c23bfa3ad645adec,Will the highest temperature in Miami be 81–82°F on December 4?,2025-12-04T00:00:00Z
0x3f33ba3976703c8d6f9e7fe08f4375a8dfc8250835b66528da7b343e33a0a3b1,Will the highest temperature in Los Angeles be 64–65°F on December 4?,2025-12-04T00:00:00Z
0x415f9d960654b9af2955125a2d1082bcb71404b266d165135b69bb60d70b4577,Will the highest temperature in Phoenix be 70–71°F on December 4?,2025-12-04T00:00:00Z
0x41b3fc0ece8b59b2f2a923eb95113acb24dbdcf85206cf3350aebef6f5a32591,Will the highest temperature in Los Angeles be 68–69°F on December 4?,2025-12-04T00:00:00Z
0x43d5afa865eb1c40f154ebc15b54b66e0a053e0f850bcd3d706677c89aaa11e0,Will the highest temperature in Chicago be 27–28°F on December 4?,2025-12-04T00:00:00Z
0x59e558c5b6638428601fbdfba248120e6be265d497028cf16f05f8d5a148db11,Will the highest temperature in Denver be 42–43°F on December 4?,2025-12-04T00:00:00Z
0x4f0343de30228bd2d0bb81c59180a185984c341f82df49933168b92a0110cdc4,Will the highest temperature in Phoenix be 68–69°F on December 4?,2025-12-04T00:00:00Z
0x4efeafae6e4b5c9069853dd61ec14bc874384e2e835a348641c6327273e65dd4,Will the highest temperature in Miami be 83–84°F on December 4?,2025-12-04T00:00:00Z
0xa4e849d09bb349fc551a94aad2cd11dc2f4d47e90956cb841cef4ccac7a24ac7,Will the highest temperature in Miami be 79–80°F on December 5?,2025-12-05T00:00:00Z
0x9ef41befd35d6b266975543646e79126a0e2660d1e9af2c116e08e36e4930134,Will the highest temperature in Dallas be 57–58°F on December 5?,2025-12-05T00:00:00Z
0xa1717f18367a7d391d575f933d7c6bc4b919586c1076a58d28db5e98f8040473,Will the highest temperature in Los Angeles be 72–73°F on December 5?,2025-12-05T00:00:00Z
0xa0a348dce787a7d8a645dce9f8ef9b84dd97826d0c43e50b129fd5ebb57c808e,Will the highest temperature in Miami be 75–76°F on December 5?,2025-12-05T00:00:00Z
0xb10f5e4c4398efba8ac1f97e93012860851cc8af3e9ad2958ff8faef77e7bfd4,Will the highest temperature in Seattle be 54 °F or higher on December 5?,2025-12-05T00:00:00Z
0xaf70c21750c0debcc2a5f4a071f9ca001b57483f1e8d86d215dba1c4c116bc1c,Will the highest temperature in Denver be 38–39°F on December 5?,2025-12-05T00:00:00Z
0xb2c4835293c94f1668c809c309a49712f41da233e3e7a552d2b8e89fdf9982d5,Will the highest temperature in Seattle be between 52–53 °F on December 5?,2025-12-05T00:00:00Z
0x81eb0603cc8d82fea6049b40d0a12869c871f21ba23b06bc4728ce08e07ac1b0,Will the highest temperature in Chicago be 31–32°F on December 5?,2025-12-05T00:00:00Z
0x8295b31dbb9fe2cd04c63e7b19e6a5642f79647fc1eb0da5376e422d72c3cef4,Will the highest temperature in Dallas be 59–60°F on December 5?,2025-12-05T00:00:00Z
0x978d8032fc1a2e462e96600e6f6ee641e56afaeea8e62c1740c0ce91bb9cb63d,Will the highest temperature in Chicago be 27–28°F on December 5?,2025-12-05T00:00:00Z
0x9714d0e545264ab98745fdbb23174dd299e222d8991fa13d1fb81a4465a6b204,Will the highest temperature in Denver be 36–37°F on December 5?,2025-12-05T00:00:00Z
0xec3671216bca569a53d78f878a6f66cbcc7fb245894ef42949637e261a074639,Will the highest temperature in Denver be 40–41°F on December 5?,2025-12-05T00:00:00Z
0xfe2e9f74c99910b52a8df9f32a60c6945dcb4daac9611f6cb8cad9a8cff7b83f,Will the highest temperature in Seattle be 43 °F or below on December 5?,2025-12-05T00:00:00Z
0xfe259fe92c628b63e1a9812ce9b2ab4db2b3566243c0b453b799c83f76ba0ec3,Will the highest temperature in Los Angeles be 66–67°F on December 5?,2025-12-05T00:00:00Z
0xfd2d509c8433cf6aa12a941b03fb38a0ed3442c0d1fb3be963b061908767d381,Will the highest temperature in Seattle be between 48–49 °F on December 5?,2025-12-05T00:00:00Z
0xf766ad53460e2db49e9a407998fbe611a0e6ff0573bc8e1dd010bdd6b5512ea6,Will the highest temperature in Dallas be 61–62°F on December 5?,2025-12-05T00:00:00Z
0xc1014b74b7069480194f099ccb937c62a9819c38c73af15ae9cd9b24ab46eb4d,Will the highest temperature in Miami be 81–82°F on December 5?,2025-12-05T00:00:00Z
0xdb1e71364d1e76c1682588175c6fa6236bee92132960247a127455ab6b0a7318,Will the highest temperature in Phoenix be 66–67°F on December 5?,2025-12-05T00:00:00Z
0xd10ed5e8a720ad1a2d1aba6b867ce658685c9465635f21d7ec044160b13a5fd1,Will the highest temperature in Denver be 42–43°F on December 5?,2025-12-05T00:00:00Z
0xd79448ccddfd66c50fb486eb8590e6a295ff41830c53fefec56ff5804fc8abe6,Will the highest temperature in Phoenix be 68–69°F on December 5?,2025-12-05T00:00:00Z
0x2d009ba7a2138ceda3229e606d7f7c9bbb11600873bd229690808b333bc1d923,Will the highest temperature in Chicago be 25–26°F on December 5?,2025-12-05T00:00:00Z
0x245a4c93117c5dd8766cd2b3c5586c0ca8b40798bbc83495c25a96427511b301,Will the highest temperature in Seattle be between 44–45 °F on December 5?,2025-12-05T00:00:00Z
0x2838fb6daafd7236cce8471946cfa4b7a36d062cf5531d70e225c6a48f6def79,Will the highest temperature in Chicago be 33–34°F on December 5?,2025-12-05T00:00:00Z
0x3b7743254d191d35edf2e28b1240354c953c40f4ff3b3117d9952836aa584161,Will the highest temperature in Phoenix be 72–73°F on December 5?,2025-12-05T00:00:00Z
0x01251bfba65de0051a3f8c7189c832116c5181c6dc8bafda8a0d74cc70bfc5d7,Will the highest temperature in Chicago be 29–30°F on December 5?,2025-12-05T00:00:00Z
0x1a6e229f2495cabf466c0a709094485f847ee47861a48b81dbfc592090f9de84,Will the highest temperature in Seattle be between 46–47 °F on December 5?,2025-12-05T00:00:00Z
0x61ec184c78110ea2fa2275bd5beb789fa342189b8f9f6cf84afe3f7043302b13,Will the highest temperature in Dallas be 63–64°F on December 5?,2025-12-05T00:00:00Z
0x687e2f81902e6bcf6a3ecd9f0072715aaf43da078a168f772f8fc384f7bc1db5,Will the highest temperature in Los Angeles be 70–71°F on December 5?,2025-12-05T00:00:00Z
0x7c0d69c422d8722cb4552bab891562510e79bdd0bc160ca9f2f87ef6768b078b,Will the highest temperature in Dallas be 55–56°F on December 5?,2025-12-05T00:00:00Z
0x798e2253f477b36b845e63a63975fc11fd16d297e7cadd16e560616f4da3fea2,Will the highest temperature in Phoenix be 70–71°F on December 5?,2025-12-05T00:00:00Z
0x75e3e5104ad54886f41cff418602e3c02a1a8359c67ae46cf839b022242a759d,Will the highest temperature in Seattle be between 50–51 °F on December 5?,2025-12-05T00:00:00Z
0x4429fa5340f4e8d6696ce549803744069fedb0251b36a9b963d2097f7065162f,Will the highest temperature in Miami be 77–78°F on December 5?,2025-12-05T00:00:00Z
0x44cd5b10bd0452010ae688b2a72afff8d7b0abe045706960d43585a1664d0b20,Will the highest temperature in Los Angeles be 68–69°F on December 5?,2025-12-05T00:00:00Z
0x5ae8a5165b924fc3879cde35c0efffbd9a5edfb3bf887f92b754ae124b676414,Will the highest temperature in Los Angeles be 64–65°F on December 5?,2025-12-05T00:00:00Z
0x5b9040784a20b2f3272e44fee6e9e5c75bbf0204f8a69874f7d3666a93310ef0,Will the highest temperature in Phoenix be 74–75°F on December 5?,2025-12-05T00:00:00Z
0x5c8764ace056f26af71b4e96c500cae56b61d7bc395ac9af47d92a0be055f905,Will the highest temperature in Miami be 83–84°F on December 5?,2025-12-05T00:00:00Z
0x57832def2c7bf8c185ccb0d26b589be538ef74397ca64daeedb61ea88469f955,Will the highest temperature in Denver be 44–45°F on December 5?,2025-12-05T00:00:00Z
0xa9f6162c03aa42288a489d5b784f77b5e84346cddf5b1cf78df9fb7ed28e6525,Will the highest temperature in Seoul be 5 °C on December 6?,2025-12-06T00:00:00Z
0xa2c356bea0fedf0520ad19ec6b98f423b3f40a0646c51a2d43eb10c203082da1,Will the highest temperature in Dallas be between 55–56 °F on December 6?,2025-12-06T00:00:00Z
0xa262d74fffb37631018951e2cbed351558f39420d70774114704987db7cc4a64,Will the highest temperature in Dallas be between 61–62 °F on December 6?,2025-12-06T00:00:00Z
0xb7c364b95809309946ab1efc26bdc6c9320e9254a1cbe573bcdcdde506d17842,Will the highest temperature in Seoul be 8 °C on December 6?,2025-12-06T00:00:00Z
0xb5b4fb9f06ddab98dfb6822a3d0f46e20a37201fb1a9d22b1252ab86af9b1d5d,Will the highest temperature in Toronto be -1 °C or below on December 6?,2025-12-06T00:00:00Z
0xb268b9e14c66aa97ac9904db053f5f6d83698e8fee7de7bff06a5ad40c498677,Will the highest temperature in Seattle be 58 °F or higher on December 6?,2025-12-06T00:00:00Z
0x8a1145c7119353068609ba2e1bf9dc94ac2badf4fe10e74fe54a336cf00ea2b0,Will the highest temperature in Toronto be 0 °C on December 6?,2025-12-06T00:00:00Z
0x8ad0f4f515a89260f67afb9637ff9bb11873263ddd6d28cc960ec2f1b204d3a4,Will the highest temperature in Dallas be 65 °F or higher on December 6?,2025-12-06T00:00:00Z
0x7eba38ea79c06629c6314fe96bdcf15926da31bb4f6dc9b0fea1e6b4cf50fd18,Will the highest temperature in Atlanta be between 45–46 °F on December 6?,2025-12-06T00:00:00Z
0x9b48e31095a21cfba3079b0a661ff818bbb174a012e1101fb6e5e4d319b2d927,Will the highest temperature in Dallas be between 57–58 °F on December 6?,2025-12-06T00:00:00Z
0xe83573b219007e0c1c08923de618965551450890e49d1ab951dc01faf28b111a,Will the highest temperature in Toronto be 4 °C on December 6?,2025-12-06T00:00:00Z
0xca17b89d617b57ef629d08911f21d0e494097e1ec29f5010482cb6ef41596b9d,Will the highest temperature in Seattle be between 52–53 °F on December 6?,2025-12-06T00:00:00Z
